"UserName","Age","Background"
"Name1","20","Economie et gestion"
"Name2","21","Economie et gestion"
"Name3","19","Economie et gestion"
"Name4","24","Economie et gestion"
"Name5","30","Sciences et technologies"
"Name6","22","Sciences et technologies"
"Name7","23","Sciences et technologies"
"Name8","21","Economie et gestion"
"Name9","20","Sciences et technologies"
"Name10","24","Economie et gestion"
"Name11","27","Economie et gestion"
"Name12","19","Economie et gestion"
"Name13","25","Economie et gestion"
"Name14","23","Sciences et technologies"
"Name15","21","Sciences et technologies"
"Name16","19","Sciences et technologies"
"Name17","24","Economie et gestion"
"Name18","21","Economie et gestion"
"Name19","27","Sciences et technologies"
"Name20","21","Economie et gestion"
"Name21","17","Economie et gestion"
"Name22","34","Sciences et technologies"
"Name23","19","Economie et gestion"
"Name24","21","Economie et gestion"
"Name25","22","Sciences et technologies"
"Name26","35","Sciences et technologies"
"Name27","21","Sciences et technologies"
"Name28","31","Economie et gestion"
"Name29","21","Economie et gestion"
"Name30","25","Sciences et technologies"
"Name31","32","Economie et gestion"
"Name32","30","Economie et gestion"
"Name33","19","Sciences et technologies"
"Name34","26","Economie et gestion"
"Name35","18","Sciences et technologies"
"Name36","36","Sciences et technologies"
"Name37","25","Sciences et technologies"
"Name38","16","Sciences et technologies"
"Name39","18","Economie et gestion"
"Name40","20","Economie et gestion"
"Name41","23","Economie et gestion"
"Name42","19","Sciences et technologies"
"Name43","29","Economie et gestion"
"Name44","22","Lettres"
"Name45","22","Sciences et technologies"
"Name46","20","Lettres"
"Name47","30","Sciences et technologies"
"Name48","32","Sciences et technologies"
"Name49","23","Lettres"
"Name50","34","Sciences et technologies"
"Name51","36","Lettres"
"Name52","35","Economie et gestion"
"Name53","20","Economie et gestion"
"Name54","23","Economie et gestion"
"Name55","21","Economie et gestion"
"Name56","25","Sciences et technologies"
"Name57","23","Sciences et technologies"
"Name58","23","Sciences et technologies"
